id,country,wtp_access,wtp_private,wtp_amount_1,wtp_amount_2a,wtp_amount_2b,geq_taxes_0,geq_taxes_1,geq_taxes_2a,geq_taxes_2b,geq_ticket_0,geq_ticket_1,geq_ticket_2a,geq_ticket_2b,wtpVal,taxesExtra,ticketExtra,WTP_R1,WTP_R2_aux,geq_taxes_R1,geq_taxes_R2_aux,geq_ticket_R1,geq_ticket_R2_aux,WTP_R2,geq_taxes_R2,geq_ticket_R2,WTP_BD1,WTP_BD2,geq_taxes_BD1,geq_taxes_BD2,geq_ticket_BD1,geq_ticket_BD2
982,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,2880,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,2880,1440,NA,NA
983,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,DK,Yes,DK,NA,NA,Yes,No,NA,Yes,575,575,60,0,DK,NA,NA,0,Yes,NA,NA,1,575,287.5,575,NA,60,30
984,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,DK,NA,NA,NA,60,60,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,60,120,60,NA
987,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,RS,NA,NA,Yes,Yes,Yes,NA,60,290,5,1,No,NA,NA,1,Yes,0,NA,1,60,120,290,NA,5,10
989,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,No,NA,NA,NA,RS,NA,NA,NA,60,NA,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,60,120,NA,NA,NA,NA
990,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,60,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,60,120,NA,NA
992,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,No,NA,Yes,115,575,30,1,Yes,0,No,0,Yes,1,0,1,115,230,575,287.5,30,15
995,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,No,NA,No,No,NA,NA,NA,115,2880,NA,1,No,0,No,NA,NA,0,0,NA,115,230,2880,1440,NA,NA
996,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
997,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
998,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1002,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1004,UK,Do not know,Do not know,NA,NA,NA,RS,NA,NA,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,60,2880,10,1,No,1,No,1,No,0,0,0,60,120,2880,5760,10,20
1008,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,290,5,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,290,580,5,10
1010,UK,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,No,NA,NA,NA,No,NA,NA,NA,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA
1011,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,Yes,Yes,No,NA,NA,NA,60,NA,NA,NA,NA,1,No,NA,NA,0,NA,NA,NA,NA,60,120
1013,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,No,DK,NA,NA,NA,115,2880,NA,0,No,0,No,NA,NA,0,0,NA,115,57.5,2880,1440,NA,NA
1014,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1015,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1016,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,Yes,No,NA,NA,NA,60,2880,NA,1,Yes,0,Yes,NA,NA,1,1,NA,60,120,2880,1440,NA,NA
1019,UK,Vaccines are only available for private purchase,Yes,RS,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,115,2880,5,NA,NA,1,No,1,Yes,NA,0,1,115,NA,2880,5760,5,10
1023,UK,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,230,30,NA,1,DK,1,Yes,NA,NA,NA,1,NA,230,460,30,60,NA,NA
1026,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,Yes,No,NA,NA,NA,NA,575,NA,NA,NA,0,Yes,NA,NA,NA,1,NA,NA,NA,575,287.5,NA,NA
1027,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,60,60,10,1,No,1,Yes,1,Yes,0,1,1,60,120,60,120,10,20
1028,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1029,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1030,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,RS,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1031,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,2880,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,2880,1440,NA,NA
1032,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,No,NA,60,30,10,1,Yes,1,Yes,1,No,1,1,0,60,120,30,60,10,20
1033,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,30,575,5,1,Yes,1,Yes,1,Yes,1,1,1,30,60,575,1150,5,10
1037,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,Yes,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,230,290,30,0,Yes,1,Yes,1,DK,1,1,NA,230,115,290,580,30,60
1038,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,60,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,60,120,NA,NA
1039,UK,Vaccines are only available for private purchase,Yes,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,115,290,115,1,No,1,No,1,No,0,0,0,115,230,290,580,115,230
1040,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,DK,NA,NA,Yes,Yes,Yes,NA,NA,290,30,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,290,NA,30,60
1041,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,575,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,575,287.5,NA,NA,NA,NA
1042,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,No,NA,NA,NA,No,NA,NA,NA,115,NA,NA,0,No,NA,NA,NA,NA,0,NA,NA,115,57.5,NA,NA,NA,NA
1044,UK,Vaccines are only available for private purchase,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1045,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,No,NA,No,Yes,No,NA,Yes,60,2880,30,1,No,0,No,0,Yes,0,0,1,60,120,2880,1440,30,15
1046,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1047,UK,Do not know,Yes,Yes,Yes,NA,Yes,Yes,No,NA,DK,NA,NA,NA,115,290,NA,1,Yes,1,No,NA,NA,1,0,NA,115,230,290,580,NA,NA
1048,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,575,290,60,1,No,1,No,1,No,0,0,0,575,1150,290,580,60,120
1050,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,30,5,60,1,Yes,1,Yes,1,DK,1,1,NA,30,60,5,10,60,120
1051,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,Yes,No,NA,Yes,NA,290,60,NA,NA,1,DK,0,Yes,NA,NA,1,NA,NA,290,580,60,30
1052,UK,Vaccines are only available for private purchase,No,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1054,UK,Do not know,Do not know,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,575,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,575,1150,NA,NA
1055,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1056,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,No,NA,Yes,No,NA,NA,NA,60,575,NA,1,No,0,Yes,NA,NA,0,1,NA,60,120,575,287.5,NA,NA
1057,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,DK,NA,NA,NA,NA,30,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,30,60,NA,NA
1059,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1060,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,Yes,No,NA,DK,30,60,60,1,Yes,1,DK,0,DK,1,NA,NA,30,60,60,120,60,30
1062,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,No,NA,No,NA,5,60,NA,NA,1,Yes,0,No,NA,1,0,NA,NA,5,10,60,30
1064,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,DK,NA,NA,2880,30,NA,NA,0,No,1,DK,NA,0,NA,NA,NA,2880,1440,30,60
1066,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,DK,NA,NA,Yes,Yes,DK,NA,230,290,5,1,No,NA,NA,1,DK,0,NA,NA,230,460,290,NA,5,10
1067,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,DK,NA,NA,No,NA,NA,NA,No,NA,NA,NA,230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA
1068,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,RS,NA,NA,DK,NA,NA,NA,NA,2880,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2880,NA,NA,NA
1070,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,Yes,Yes,Yes,Yes,NA,NA,2880,10,NA,NA,0,Yes,1,Yes,NA,1,1,NA,NA,2880,1440,10,20
1071,UK,Vaccines are only available for private purchase,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1072,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,Yes,No,NA,NA,NA,575,290,NA,0,No,0,Yes,NA,NA,0,1,NA,575,287.5,290,145,NA,NA
1073,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,575,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,575,1150,NA,NA
1076,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,No,NA,NA,NA,NA,2880,NA,NA,NA,0,No,NA,NA,NA,0,NA,NA,NA,2880,1440,NA,NA
1077,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1078,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,DK,Yes,No,NA,DK,No,NA,NA,NA,115,290,NA,0,DK,0,DK,NA,NA,NA,NA,NA,115,57.5,290,145,NA,NA
1079,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,DK,NA,NA,NA,RS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,Yes,Yes,No,NA,Yes,Yes,Yes,NA,230,2880,5,0,No,1,No,1,Yes,0,0,1,230,115,2880,5760,5,10
1081,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,575,60,NA,NA,1,No,1,No,NA,0,0,NA,NA,575,1150,60,120
1082,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,DK,NA,NA,DK,NA,NA,NA,230,290,NA,1,Yes,NA,NA,NA,NA,1,NA,NA,230,460,290,NA,NA,NA
1083,UK,Vaccines are only available for private purchase,Yes,No,NA,DK,No,NA,NA,NA,No,NA,NA,NA,60,NA,NA,0,DK,NA,NA,NA,NA,NA,NA,NA,60,30,NA,NA,NA,NA
1084,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,290,5,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,290,580,5,10
1085,UK,Vaccines only made available by government at low or no cost,Yes,Yes,DK,NA,No,NA,NA,NA,Yes,Yes,Yes,NA,60,NA,5,1,DK,NA,NA,1,Yes,NA,NA,1,60,120,NA,NA,5,10
1086,UK,Vaccines are only available for private purchase,Do not know,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1087,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1088,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,No,No,NA,NA,NA,575,575,NA,0,No,0,No,NA,NA,0,0,NA,575,287.5,575,287.5,NA,NA
1094,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1097,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,No,No,NA,NA,NA,30,5,NA,0,No,0,No,NA,NA,0,0,NA,30,15,5,2.5,NA,NA
1099,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1100,UK,Vaccines made available by government but citizens can pay privately to gain access,Do not know,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1101,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,Yes,Yes,Yes,NA,NA,NA,10,NA,NA,NA,NA,1,Yes,NA,NA,1,NA,NA,NA,NA,10,20
1105,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,60,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,60,120,NA,NA
1106,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,Yes,Yes,No,NA,No,230,575,115,0,No,0,Yes,0,No,0,1,0,230,115,575,287.5,115,57.5
1108,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1110,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,RS,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,230,290,30,1,RS,1,Yes,1,Yes,NA,1,1,230,460,290,580,30,60
1111,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,DK,NA,NA,No,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA
1112,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1113,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,60,5,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,60,120,5,10
1114,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,NA,30,NA,NA,NA,1,No,NA,NA,NA,0,NA,NA,NA,30,60,NA,NA
1115,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,DK,NA,No,NA,NA,NA,NA,60,NA,NA,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,60,120,NA,NA
1116,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,5,10,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,5,10,10,20
1117,UK,Vaccines only made available by government at low or no cost,Yes,Yes,Yes,NA,Yes,No,NA,No,Yes,No,NA,Yes,30,2880,115,1,Yes,0,No,0,Yes,1,0,1,30,60,2880,1440,115,57.5
1120,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1125,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,No,NA,NA,2880,30,NA,NA,0,No,1,No,NA,0,0,NA,NA,2880,1440,30,60
1133,UK,Do not know,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1134,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,Yes,Yes,Yes,Yes,NA,NA,2880,10,NA,NA,0,Yes,1,Yes,NA,1,1,NA,NA,2880,1440,10,20
1135,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,No,NA,No,Yes,Yes,No,NA,NA,2880,30,NA,NA,0,No,1,No,NA,0,0,NA,NA,2880,1440,30,60
1136,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,DK,NA,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,575,30,30,1,DK,1,Yes,1,DK,NA,1,NA,575,1150,30,60,30,60
1137,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1140,UK,Vaccines only made available by government at low or no cost,Yes,DK,NA,NA,Yes,Yes,No,NA,No,NA,NA,NA,30,290,NA,NA,NA,1,No,NA,NA,NA,0,NA,30,NA,290,580,NA,NA
1141,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,Yes,Yes,No,NA,NA,NA,60,NA,NA,NA,NA,1,No,NA,NA,0,NA,NA,NA,NA,60,120
1145,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,DK,NA,NA,5,10,NA,NA,1,Yes,1,DK,NA,1,NA,NA,NA,5,10,10,20
1150,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1151,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,DK,NA,DK,NA,NA,NA,NA,30,NA,NA,NA,1,DK,NA,NA,NA,NA,NA,NA,NA,30,60,NA,NA
1153,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,30,60,NA,1,Yes,1,Yes,NA,NA,1,1,NA,30,60,60,120,NA,NA
1154,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,30,5,NA,NA,1,Yes,1,Yes,NA,1,1,NA,NA,30,60,5,10
1155,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,No,NA,Yes,Yes,No,NA,No,NA,NA,NA,230,60,NA,1,No,1,No,NA,NA,0,0,NA,230,460,60,120,NA,NA
1156,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,No,NA,No,Yes,No,NA,Yes,NA,2880,30,NA,NA,0,No,0,Yes,NA,0,1,NA,NA,2880,1440,30,15
1157,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,Yes,Yes,No,NA,Yes,No,NA,NA,NA,230,575,NA,0,Yes,0,Yes,NA,NA,1,1,NA,230,115,575,287.5,NA,NA
1159,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,60,5,NA,NA,1,No,1,No,NA,0,0,NA,NA,60,120,5,10
1161,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1165,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,DK,NA,NA,NA,Yes,Yes,No,NA,NA,NA,115,NA,NA,NA,NA,1,No,NA,NA,0,NA,NA,NA,NA,115,230
1166,UK,Vaccines only made available by government at low or no cost,Yes,Yes,No,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,575,30,115,1,No,1,No,1,No,0,0,0,575,1150,30,60,115,230
1169,UK,Vaccines only made available by government at low or no cost,Yes,No,NA,No,Yes,No,NA,Yes,Yes,Yes,Yes,NA,575,575,5,0,No,0,Yes,1,Yes,0,1,1,575,287.5,575,287.5,5,10
1170,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,290,5,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,290,580,5,10
1171,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,30,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,30,60,NA,NA
1174,UK,Vaccines only made available by government at low or no cost,Do not know,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,No,NA,NA,290,30,NA,NA,1,No,1,No,NA,0,0,NA,NA,290,580,30,60
1175,UK,Vaccines made available by government but citizens can pay privately to gain access,No,NA,NA,NA,Yes,No,NA,No,Yes,No,NA,No,NA,60,115,NA,NA,0,No,0,No,NA,0,0,NA,NA,60,30,115,57.5
1179,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,No,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1182,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,No,NA,No,DK,NA,NA,NA,Yes,DK,NA,NA,230,NA,115,0,No,NA,NA,NA,NA,0,NA,NA,230,115,NA,NA,115,NA
1184,UK,Do not know,Do not know,NA,NA,NA,DK,NA,NA,NA,DK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1189,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,DK,NA,NA,NA,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1191,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,DK,NA,NA,NA,NA,5,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,5,10,NA,NA
1200,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,Yes,NA,No,NA,NA,NA,NA,290,NA,NA,NA,1,Yes,NA,NA,NA,1,NA,NA,NA,290,580,NA,NA
1203,UK,Vaccines only made available by government at low or no cost,No,NA,NA,NA,Yes,Yes,No,NA,Yes,Yes,Yes,NA,NA,290,10,NA,NA,1,No,1,Yes,NA,0,1,NA,NA,290,580,10,20
1207,UK,Vaccines made available by government but citizens can pay privately to gain access,Yes,Yes,Yes,NA,Yes,No,NA,Yes,No,NA,NA,NA,230,575,NA,1,Yes,0,Yes,NA,NA,1,1,NA,230,460,575,287.5,NA,NA
